model,metodo_extracao,rerank,answer_usable_rate,citation_accuracy_avg,answer_correctness_avg,faithfulness_avg,recall_at_k,doc_recall_at_k,ndcg_at_k,latency_avg_ms
text-embedding-3-large,texto,True,0.812,0.773,0.922,0.976,0.958,0.958,0.872,4574.0
text-embedding-3-large,markdown,True,0.771,0.723,0.915,0.978,0.958,0.979,0.867,5186.0
text-embedding-3-large,markdown,False,0.604,0.549,0.862,0.957,0.812,0.875,0.636,2055.0
text-embedding-3-large,texto,False,0.562,0.562,0.838,0.931,0.792,0.875,0.627,1841.0
