provider,model,chunk_strategy,metodo_extracao,mode,rerank,candidates_k,query_expansion,exclude_revogadas,exclude_superseded_versions,restrict_to_query_submodulo,boost_identificador,num_questions,latency_avg_ms,latency_p95_ms,llm_status_counts,generator_status_counts,recall_at_k,doc_recall_at_k,precision_at_k,mrr_at_k,ndcg_at_k,faithfulness_avg,answer_correctness_avg,citation_accuracy_avg,answer_usable_rate,failure_type_counts,num_questions_total,num_questions_evaluated,num_questions_skipped
openai,text-embedding-3-large,fixed-size,markdown,flat,False,,False,False,False,False,False,48,2644.899483463329,5618.906749994494,"{""ok"": 48}","{""ok"": 48}",0.8125,0.875,0.13125,0.5854166666666667,0.6362393537228566,0.959375,0.8464583333333333,0.5388888888888889,0.5625,"{""usable"": 27, ""citation_and_answer_failure"": 5, ""retrieval_document_failure"": 6, ""answer_quality_failure"": 1, ""retrieval_passage_failure"": 3, ""citation_failure"": 6}",50,48,2
openai,text-embedding-3-large,fixed-size,markdown,flat,True,100.0,False,True,True,True,False,48,4787.395369854494,17751.514333998784,"{""ok"": 48}","{""ok"": 48}",0.9583333333333334,0.9791666666666666,0.1955687830687831,0.875,0.86697413249705,0.9768749999999999,0.9064583333333334,0.7303240740740741,0.7291666666666666,"{""answer_quality_failure"": 4, ""usable"": 35, ""retrieval_passage_failure"": 1, ""citation_failure"": 5, ""citation_and_answer_failure"": 2, ""retrieval_document_failure"": 1}",50,48,2
