provider,model,chunk_strategy,metodo_extracao,mode,rerank,num_questions,latency_avg_ms,latency_p95_ms,llm_status_counts,generator_status_counts,recall_at_k,doc_recall_at_k,precision_at_k,mrr_at_k,ndcg_at_k,faithfulness_avg,answer_correctness_avg,citation_accuracy_avg,answer_usable_rate,failure_type_counts,num_questions_total,num_questions_evaluated,num_questions_skipped
openai,text-embedding-3-large,fixed-size,markdown,flat,False,48,7659.3850659573945,13456.29887501127,"{""ok"": 48}","{""ok"": 48}",0.7708333333333334,0.8541666666666666,0.12291666666666667,0.5833333333333334,0.62432506990569,0.928125,0.8070833333333334,0.5868055555555556,0.5208333333333334,"{""usable"": 25, ""retrieval_document_failure"": 7, ""citation_and_answer_failure"": 4, ""citation_failure"": 4, ""retrieval_passage_failure"": 4, ""answer_quality_failure"": 4}",50,48,2
openai,text-embedding-3-large,fixed-size,markdown,flat,True,48,5863.248379352929,10513.218459003838,"{""ok"": 48}","{""ok"": 48}",0.7708333333333334,0.7916666666666666,0.13958333333333334,0.6281746031746032,0.6412574945192919,0.9435416666666666,0.8441666666666666,0.6666666666666666,0.6041666666666666,"{""usable"": 29, ""retrieval_document_failure"": 10, ""retrieval_passage_failure"": 1, ""answer_quality_failure"": 5, ""citation_failure"": 1, ""citation_and_answer_failure"": 2}",50,48,2
