provider,model,chunk_strategy,metodo_extracao,mode,rerank,candidates_k,query_expansion,exclude_revogadas,exclude_superseded_versions,restrict_to_query_submodulo,boost_identificador,num_questions,latency_avg_ms,latency_p95_ms,llm_status_counts,generator_status_counts,recall_at_k,doc_recall_at_k,precision_at_k,mrr_at_k,ndcg_at_k,faithfulness_avg,answer_correctness_avg,citation_accuracy_avg,answer_usable_rate,failure_type_counts,num_questions_total,num_questions_evaluated,num_questions_skipped
openai,text-embedding-3-large,fixed-size,markdown,flat,False,,False,False,False,False,False,48,2055.1865814971584,3582.1065000491217,"{""ok"": 48}","{""ok"": 48}",0.8125,0.875,0.13125,0.5854166666666667,0.6362393537228566,0.956875,0.861875,0.5486111111111112,0.6041666666666666,"{""usable"": 29, ""citation_and_answer_failure"": 3, ""answer_quality_failure"": 2, ""retrieval_document_failure"": 6, ""retrieval_passage_failure"": 3, ""citation_failure"": 5}",50,48,2
openai,text-embedding-3-large,fixed-size,texto,flat,False,,False,False,False,False,False,48,1840.7809010944522,3440.2337089413777,"{""ok"": 48}","{""ok"": 48}",0.7916666666666666,0.875,0.14583333333333334,0.5922123015873015,0.627128547586851,0.9310416666666667,0.8377083333333333,0.5621527777777777,0.5625,"{""answer_quality_failure"": 3, ""usable"": 27, ""retrieval_passage_failure"": 4, ""retrieval_document_failure"": 6, ""citation_failure"": 6, ""citation_and_answer_failure"": 2}",50,48,2
openai,text-embedding-3-large,fixed-size,markdown,flat,True,100.0,False,True,True,True,False,48,5185.919328997746,28738.436875049956,"{""ok"": 48}","{""ok"": 48}",0.9583333333333334,0.9791666666666666,0.1955687830687831,0.875,0.86697413249705,0.9783333333333333,0.915,0.7233796296296297,0.7708333333333334,"{""usable"": 37, ""answer_quality_failure"": 3, ""retrieval_passage_failure"": 1, ""citation_failure"": 5, ""citation_and_answer_failure"": 1, ""retrieval_document_failure"": 1}",50,48,2
openai,text-embedding-3-large,fixed-size,texto,flat,True,100.0,False,True,True,True,False,48,4574.122250941097,15936.042958055623,"{""ok"": 48}","{""ok"": 48}",0.9583333333333334,0.9583333333333334,0.21030092592592592,0.8975694444444444,0.8722315177057043,0.9758333333333333,0.921875,0.7729166666666667,0.8125,"{""answer_quality_failure"": 3, ""usable"": 39, ""citation_failure"": 3, ""citation_and_answer_failure"": 1, ""retrieval_document_failure"": 2}",50,48,2
